Epoca,ErroAproxTreino,ErroClassTreino,ErroAproxTeste,ErroClassTeste
1,75,4646,45,39,0326,40
2,89,1840,65,38,9262,40
3,89,3179,68,38,7174,40
4,88,2850,64,38,4573,40
5,86,9581,64,38,1348,40
6,85,3444,61,37,7379,40
7,83,4357,58,37,2586,40
8,81,2551,56,36,6932,40
9,78,8602,51,36,0447,40
10,76,3376,47,35,3237,40
11,73,7902,44,34,5483,40
12,71,3178,44,33,7418,40
13,68,9997,43,32,9287,38
14,66,8851,40,32,1311,37
15,64,9927,38,31,3660,35
16,63,3181,35,30,6450,34
17,61,8433,36,29,9745,33
18,60,5445,35,29,3571,29
19,59,3969,35,28,7927,29
20,58,3783,35,28,2794,27
21,57,4691,31,27,8142,25
22,56,6531,31,27,3934,25
23,55,9172,29,27,0132,24
24,55,2502,29,26,6697,24
25,54,6433,29,26,3590,23
26,54,0888,30,26,0776,22
27,53,5805,31,25,8222,22
28,53,1129,31,25,5899,20
29,52,6816,31,25,3778,20
30,52,2823,31,25,1838,20
31,51,9118,31,25,0055,20
32,51,5669,31,24,8412,20
33,51,2450,30,24,6893,20
34,50,9437,29,24,5482,20
35,50,6611,29,24,4167,21
36,50,3953,29,24,2938,21
37,50,1446,29,24,1783,21
38,49,9078,29,24,0696,21
39,49,6835,29,23,9668,21
40,49,4705,29,23,8692,21
41,49,2680,29,23,7764,20
42,49,0751,29,23,6877,20
43,48,8908,29,23,6028,20
44,48,7147,29,23,5212,20
45,48,5459,29,23,4426,20
46,48,3840,29,23,3667,19
47,48,2285,29,23,2933,19
48,48,0789,29,23,2220,19
49,47,9347,29,23,1527,19
50,47,7957,28,23,0853,18
51,47,6614,28,23,0195,18
52,47,5316,28,22,9552,17
53,47,4060,28,22,8923,17
54,47,2843,29,22,8308,17
55,47,1663,28,22,7705,17
56,47,0519,28,22,7113,17
57,46,9407,28,22,6532,17
58,46,8327,28,22,5962,17
59,46,7276,28,22,5401,17
60,46,6254,28,22,4851,17
61,46,5258,28,22,4309,17
62,46,4288,28,22,3776,17
63,46,3342,28,22,3252,17
64,46,2420,28,22,2736,17
65,46,1520,28,22,2229,17
66,46,0641,28,22,1730,17
67,45,9783,28,22,1239,17
68,45,8944,28,22,0756,17
69,45,8124,28,22,0281,17
70,45,7323,29,21,9813,17
71,45,6539,29,21,9353,17
72,45,5772,29,21,8901,17
73,45,5021,28,21,8456,17
74,45,4286,28,21,8019,17
75,45,3566,28,21,7589,17
76,45,2861,28,21,7166,17
77,45,2171,28,21,6750,17
78,45,1494,28,21,6342,17
79,45,0830,28,21,5941,17
80,45,0180,27,21,5546,17
81,44,9542,27,21,5158,17
82,44,8917,27,21,4777,18
83,44,8303,27,21,4403,18
84,44,7701,27,21,4035,18
85,44,7110,27,21,3674,18
86,44,6530,27,21,3319,18
87,44,5961,27,21,2970,18
88,44,5402,27,21,2627,18
89,44,4853,27,21,2290,18
90,44,4315,27,21,1960,18
91,44,3785,27,21,1635,18
92,44,3265,27,21,1315,18
93,44,2754,28,21,1001,18
94,44,2252,28,21,0693,18
95,44,1759,28,21,0390,18
96,44,1274,28,21,0092,18
97,44,0797,28,20,9800,18
98,44,0328,28,20,9512,18
99,43,9868,28,20,9229,18
100,43,9415,28,20,8951,18
101,43,8969,28,20,8678,18
102,43,8531,28,20,8409,18
103,43,8100,28,20,8145,18
104,43,7676,28,20,7885,17
105,43,7259,28,20,7630,17
106,43,6848,28,20,7378,17
107,43,6444,28,20,7131,17
108,43,6047,28,20,6888,17
109,43,5656,28,20,6648,17
110,43,5271,28,20,6412,17
111,43,4893,27,20,6181,17
